team,wins,losses,ties,games,win_pct,owp,oowp,qualifying_wins,qualifying_losses,qualifying_ties,partial_wins,npi_rating
University of Mount Union,1,1,0,2,0.5,66.66666666666666,58.333333333333336,1,1,0,0,49.801677927456836
La Roche University,1,1,0,2,0.5,66.66666666666666,75.0,1,1,0,0,49.80167792745683
Elms College,2,1,0,3,0.6666666666666666,30.0,42.22222222222222,2,1,0,0,49.66732503368459
University of Wisconsin-Superior,1,2,0,3,0.3333333333333333,90.0,30.0,1,2,0,0,49.57646392450126
Rochester Institute of Technology,1,0,1,2,0.75,0.0,91.66666666666667,1,0,1,0,49.44445772080833
Eastern Mennonite University,0,1,1,2,0.25,50.0,75.0,0,1,1,0,49.40460945421596
Albertus Magnus College,2,1,0,3,0.6666666666666666,50.0,61.11111111111111,2,1,0,0,49.1896321241652
Mount Aloysius College,0,1,2,3,0.3333333333333333,66.66666666666666,61.111111111111114,0,1,2,0,49.13220763760099
Wittenberg University,0,1,2,3,0.3333333333333333,50.0,61.111111111111114,0,1,2,0,48.99651867917779
Muhlenberg College,2,1,0,3,0.6666666666666666,0.0,76.38888888888889,2,1,0,0,48.94621939356466
Washington College (Maryland),1,1,1,3,0.5,80.0,28.055555555555554,1,1,1,0,48.93274538721142
Salisbury University,1,1,1,3,0.5,37.5,61.666666666666664,1,1,1,0,48.88650094574717
Bard College,1,1,0,2,0.5,100.0,16.666666666666664,1,1,0,0,48.80758523420553
York College (Pennsylvania),2,1,0,3,0.6666666666666666,33.33333333333333,66.66666666666666,2,1,0,0,48.74614247581062
Whitworth University,0,1,1,2,0.25,100.0,25.0,0,1,1,0,48.70505434363211
Martin Luther College,1,2,0,3,0.3333333333333333,66.66666666666666,40.27777777777778,1,2,0,0,48.680429755988825
Farmingdale State College,1,1,0,2,0.5,100.0,16.666666666666664,1,1,0,0,48.66669629410698
Washington and Jefferson College,1,1,0,2,0.5,33.33333333333333,66.66666666666666,1,1,0,0,48.43603994714322
"Rutgers, The State Univ. of New Jersey, Camden",0,1,2,3,0.3333333333333333,50.0,16.666666666666668,0,1,2,0,48.43600876231839
State University of New York at Oneonta,0,1,1,2,0.25,50.0,50.0,0,1,1,0,48.40667814548215
Husson University,1,2,0,3,0.3333333333333333,75.0,29.166666666666668,1,2,0,0,48.38672657894127
Shenandoah University,0,1,1,2,0.25,100.0,8.333333333333332,0,1,1,0,48.36372480558923
Mitchell College,1,0,0,1,1.0,0.0,0.0,1,0,0,0,48.34315347243288
Lewis & Clark College,0,1,1,2,0.25,100.0,25.0,0,1,1,0,48.33356002068288
Augustana College (Illinois),0,1,1,2,0.25,100.0,33.33333333333333,0,1,1,0,48.32485962474492
Sarah Lawrence College,1,1,0,2,0.5,100.0,33.33333333333333,1,1,0,0,48.242041361933914
Union College (New York),1,1,0,2,0.5,25.0,83.33333333333333,1,1,0,0,48.15251162702401
Western New England University,1,1,0,2,0.5,33.33333333333333,62.5,1,1,0,0,48.152511627021084
University of La Verne,0,0,1,1,0.5,50.0,100.0,0,0,1,0,48.142725566132675
Elmhurst University,3,0,0,3,1.0,0.0,50.0,3,0,0,0,48.0610167524552
Geneva College,1,1,1,3,0.5,50.0,47.22222222222222,1,1,1,0,48.002210023276554
Marywood University,2,1,0,3,0.6666666666666666,10.0,69.44444444444444,2,1,0,0,47.94987753662272
St. Olaf College,2,1,0,3,0.6666666666666666,10.0,79.16666666666667,2,1,0,0,47.942036837207006
